# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Big Bend,AZ,35.0917,-114.6328,US/Mountain,,,,0,,,,stream,,LC,bbblc,488.4
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
Colorado River Below Needles Bridge,CA,34.8181,-114.5908,US/Pacific,,,,0,,,,stream,,LC,bnblc,
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-20 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-21 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-22 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-23 00:00:00,0.7,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-24 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-25 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-01 00:00:00,33.38,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-02 00:00:00,39.02,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-03 00:00:00,51.76,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-04 00:00:00,51,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-05 00:00:00,51.33,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-06 00:00:00,51.34,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-07 00:00:00,45.01,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-08 00:00:00,40.95,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-09 00:00:00,40.7,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-10 00:00:00,40.81,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-11 00:00:00,40.77,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-12 00:00:00,22.93,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-13 00:00:00,22.75,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-14 00:00:00,23.1,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-15 00:00:00,21.75,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-16 00:00:00,21.3,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-17 00:00:00,21.24,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-18 00:00:00,21.79,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-19 00:00:00,21.34,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-20 00:00:00,21.24,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-21 00:00:00,21.24,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-22 00:00:00,21.24,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-23 00:00:00,20.64,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-24 00:00:00,21.17,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Streamflow,2017-10-25 00:00:00,21.24,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-01 00:00:00,4.63,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-02 00:00:00,4.85,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-03 00:00:00,4.8,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-04 00:00:00,4.71,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-05 00:00:00,4.75,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-06 00:00:00,4.78,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-07 00:00:00,4.76,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-08 00:00:00,4.69,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-09 00:00:00,4.68,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-10 00:00:00,4.58,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-11 00:00:00,4.53,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-12 00:00:00,4.51,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-13 00:00:00,4.48,Feet
